name,Entry_point_address,Size_of_program_headers,Size_of_section_headers,Start_of_program_headers,Start_of_section_headers,size_text_section,total_size_file,total_size_memory,n_seg_diff_size_in_file_and_memory,n_p_type_header_as_int_type,total_p_flags,total_STT_NOTYPE_symbol,total_STT_FUNC_symbol,total_STT_OBJECT_symbol,n_sec_not_in_memory,total_global_symbols,total_local_symbols,total_weak_symbols,category
Xwayland,289424,56,64,64,2347128,1597621,2410021,2538537,1,0,59,3,0,0,0,2198,1,5,0
xgamma,4976,56,64,64,8504,2706,10124,10180,1,0,43,3,0,0,0,24,1,4,0
xwud,22416,56,64,64,33200,13365,26089,26185,1,0,59,4,0,0,0,48,1,4,0
xsetmode,3568,56,64,64,8504,1170,7196,7228,1,0,43,3,0,0,0,23,1,4,0
xeyes,10464,56,64,64,30576,6661,31065,31089,1,0,59,4,0,0,0,62,1,4,0
xvinfo,9264,56,64,64,16824,4789,13553,13625,1,0,59,4,0,0,0,27,1,4,0
xkbwatch,11040,56,64,64,21816,5221,17881,18033,1,0,59,4,0,0,0,39,1,4,0
xfd,16864,56,64,64,39040,10773,37353,37713,1,0,59,4,0,0,0,73,1,4,0
zenity,47600,56,64,64,134040,57077,136773,137673,1,0,59,3,0,0,0,341,1,4,0
xlsclients,6032,56,64,64,16832,5189,14609,14689,1,0,59,4,0,0,0,33,1,4,0
readprofile,13024,56,64,64,20960,4450,17142,17205,1,0,59,4,0,0,0,48,1,5,0
realm,37424,56,64,64,148304,68037,151465,151753,1,0,59,4,0,0,0,261,1,4,0
pwunconv,17136,56,64,64,53432,19669,50205,51425,1,0,59,4,0,0,0,106,1,6,0
pppdump,5104,56,64,64,16840,7493,16873,41657,1,0,59,3,0,0,0,23,1,4,0
pppd,85264,56,64,64,393224,197765,391889,710809,1,0,59,3,0,0,0,752,1,5,0
pptp,17488,56,64,64,70912,32293,66813,92673,1,0,59,3,0,0,0,108,1,4,0
pwck,20608,56,64,64,57648,23893,57005,58233,1,0,59,4,0,0,0,112,1,6,0
pppstats,5488,56,64,64,16728,5285,13409,13561,1,0,59,3,0,0,0,27,1,4,0
pppoe-discovery,5968,56,64,64,20824,6757,18973,19033,1,0,59,3,0,0,0,42,1,4,0
pwconv,17920,56,64,64,53424,20741,52229,53457,1,0,59,4,0,0,0,110,1,6,0
regdbdump,4704,56,64,64,12632,645,6473,6481,1,0,59,3,0,0,0,10,1,4,0
raw,6464,56,64,64,12736,2914,12533,12613,1,0,59,4,0,0,0,33,1,5,0
sfdisk,41872,56,64,64,147904,75042,148753,148973,1,0,59,4,0,0,0,274,1,5,0
resize2fs,21424,56,64,64,65984,33189,62857,63009,1,0,59,4,0,0,0,155,1,4,0
rtcwake,16672,56,64,64,45512,21762,47561,47685,1,0,59,4,0,0,0,84,1,8,0
rtkitctl,5472,56,64,64,12736,1253,9217,9281,1,0,59,4,0,0,0,16,1,4,0
setvesablank,5024,56,64,64,12648,2597,9865,9905,1,0,59,3,0,0,0,18,1,4,0
rmt-tar,12496,56,64,64,58032,33893,57425,57649,1,0,59,3,0,0,0,74,1,6,0
rtacct,13920,56,64,64,47680,10853,41345,62505,1,0,59,4,0,0,0,59,1,4,0
rfkill,16768,56,64,64,49512,18674,44697,45013,1,0,59,3,0,0,0,85,1,5,0
setcap,6544,56,64,64,12728,2117,10137,10145,1,0,59,4,0,0,0,23,1,4,0
sgdisk,20496,56,64,64,193000,115285,198338,202658,1,0,59,4,0,0,0,96,1,20,0
rsyslogd,95152,56,64,64,725328,383781,742009,746225,1,0,59,4,0,0,0,954,1,6,0
rtmon,24704,56,64,64,78288,35573,77629,96801,1,0,59,4,0,0,0,311,1,5,0
saned,19184,56,64,64,66320,28165,63897,64393,1,0,59,4,0,0,0,117,1,4,0
setvtrgb,5424,56,64,64,16808,3285,12161,12297,1,0,59,3,0,0,0,27,1,4,0
runuser,16704,56,64,64,70088,36098,71145,71245,1,0,59,4,0,0,0,141,1,5,0
spice-vdagentd,23472,56,64,64,62344,23125,63161,65505,1,0,59,4,0,0,0,174,1,4,0
tc,59760,56,64,64,552744,344005,557281,591553,1,0,59,4,0,0,0,637,1,7,0
sudo_logsrvd,27168,56,64,64,173664,99125,177665,177769,1,0,59,3,0,0,0,155,1,4,0
sulogin,21584,56,64,64,49608,22498,47481,81325,1,0,59,4,0,0,0,126,1,5,0
sssctl,24608,56,64,64,115240,55509,114137,114473,1,0,59,4,0,0,0,210,1,4,0
swapoff,11392,56,64,64,20928,4514,18925,19053,1,0,59,4,0,0,0,62,1,5,0
sudo_sendlog,24992,56,64,64,128128,70309,133025,133241,1,0,59,3,0,0,0,124,1,4,0
swapon,20304,56,64,64,49600,20258,50457,50573,1,0,59,4,0,0,0,119,1,5,0
sss_override,21456,56,64,64,91208,43397,89009,89345,1,0,59,4,0,0,0,161,1,4,0
unix_update,10624,56,64,64,37208,18085,33477,66545,1,0,59,3,0,0,0,70,1,4,0
sss_cache,23280,56,64,64,90664,40501,83793,84513,1,0,59,4,0,0,0,172,1,4,0
start-stop-daemon,22496,56,64,64,46536,13858,41501,41949,1,0,59,3,0,0,0,94,1,4,0
tune2fs,33760,56,64,64,107128,54709,108609,109329,1,0,59,4,0,0,0,199,1,4,0
swaplabel,10800,56,64,64,16832,2818,13565,13629,1,0,59,4,0,0,0,42,1,5,0
unix_chkpwd,11552,56,64,64,41304,18421,34861,67929,1,0,59,3,0,0,0,78,1,4,0
sysctl,11920,56,64,64,29040,9218,25045,25157,1,0,59,3,0,0,0,60,1,6,0
sssd,26688,56,64,64,86832,36053,87265,87601,1,0,59,4,0,0,0,205,1,4,0
thermald,143392,56,64,64,688808,455909,699389,700109,1,0,59,3,0,0,0,703,1,325,0
umount.udisks2,5536,56,64,64,12720,1173,8561,8569,1,0,59,4,0,0,0,19,1,4,0
switch_root,6128,56,64,64,16832,2802,13141,13205,1,0,59,4,0,0,0,43,1,5,0
tcpdump,179888,56,64,64,1042312,522789,1149961,2586129,1,0,59,3,0,0,0,138,1,4,0
tipc,17024,56,64,64,127432,77173,129381,148633,1,0,59,4,0,0,0,125,1,4,0
sss_seed,21792,56,64,64,70184,31365,67697,68001,1,0,59,4,0,0,0,139,1,4,0
userdel,31472,56,64,64,99344,47701,101861,104537,1,0,59,4,0,0,0,167,1,6,0
useradd,34352,56,64,64,145176,73269,147633,150537,1,0,59,4,0,0,0,190,1,6,0
uuidd,16432,56,64,64,41496,16162,38569,38645,1,0,59,4,0,0,0,90,1,5,0
usb_modeswitch,15184,56,64,64,63336,27221,58809,69217,1,0,59,3,0,0,0,68,1,4,0
vcstime,4784,56,64,64,12632,789,6801,6809,1,0,59,3,0,0,0,13,1,4,0
update-passwd,10624,56,64,64,33536,13845,31617,31745,1,0,59,3,0,0,0,62,1,4,0
usermod,36544,56,64,64,140856,69749,141353,144353,1,0,59,4,0,0,0,190,1,6,0
vipw,16832,56,64,64,68280,28341,68069,69577,1,0,59,4,0,0,0,131,1,6,0
visudo,32784,56,64,64,221672,107829,221769,223321,1,0,59,3,0,0,0,149,1,4,0
usbmuxd,26048,56,64,64,86824,38133,84401,84801,1,0,59,3,0,0,0,164,1,4,0
wpa_supplicant,123872,56,64,64,2940368,1878917,3027545,3029121,1,0,59,3,0,0,0,639,1,4,0
vmware-authd,330488,56,64,64,3733824,2203048,4007952,4174716,2,0,48,5,0,0,0,292,1,10,0
vpddecode,5888,56,64,64,17040,3523,13333,13405,1,0,59,4,0,0,0,29,1,4,0
zic,14432,56,64,64,65928,39637,60749,65577,1,0,59,3,0,0,0,49,1,4,0
xtables-legacy-multi,20688,56,64,64,97312,47509,96521,522993,1,0,59,4,0,0,0,149,1,4,0
vmware-authdlauncher,94872,56,64,64,944064,496904,1051608,1187808,2,0,48,5,0,0,0,400,1,9,0
wipefs,20960,56,64,64,49608,18482,44977,45141,1,0,59,4,0,0,0,107,1,5,0
xtables-nft-multi,41376,56,64,64,226664,119333,232297,658865,1,0,59,4,0,0,0,279,1,4,0
zramctl,20064,56,64,64,115256,69346,116645,116765,1,0,59,4,0,0,0,134,1,5,0
wpa_cli,37328,56,64,64,157984,53925,166493,167145,1,0,59,4,0,0,0,113,1,4,0
yara,18128,56,64,64,47280,10980,33981,35925,1,0,59,5,0,0,0,79,1,4,0
yarac,10272,56,64,64,25832,3829,15225,15593,1,0,59,5,0,0,0,36,1,4,0
python3,6069088,56,64,64,5272312,2467701,5342793,5486425,1,0,59,4,0,0,0,2561,1,4,0
size,11696,56,64,64,33424,13237,32393,33825,1,0,59,3,0,0,0,78,1,4,0
slogin,69248,56,64,64,799816,457381,816137,832249,1,0,59,3,0,0,0,439,1,7,0
